name,id,ar_name,alia,al_name
好一点 (don't emo),1913266956,小蓝背心,,好一点 (don't emo)
New Song（DJ版）,1816737311,桂智,,New Song
心之火,32408464,F.I.R.,电视剧《花千骨》片头曲,花千骨 电视原声带
京剧(说唱版),1831417596,初见先生,,风靡全球
调查中（《开端》BGM歌词完整版）,1923087454,熙月月,,调查中（《开端》BGM歌词版）
Maybe You Call Me / 法老-Call me maybe&百变酒精（$LeLe remix）,1846337727,莱昂,,Call me maybe&百变酒精
瞬间,1399728554,容云,,瞬间
少年游(ft.Spylent),1843176063,程墨INK,,少年游
高雅先生,1850240555,拜德盖Viigho,,高雅先生
Umbrella(Remix),1831768247,姜辰辰,,爱像车窗起雾
删了吧,1891469546,烟(许佳豪),要不你还是把我删了吧,删了吧
天行九歌,1446732592,大C,,天行九歌
For Forever,426291338,华晨宇,,H
回马枪,1879709722,边靖婷,,回马枪
百年孤寂,1886371886,苏玮,,百年孤寂
画离弦（柯柯版）,1893675085,柯柯柯啊,,画离弦
Pump it Up,1449537557,Cdeep,,Deep Sense
梦与星海之间,1368726318,司南,,司南·黑历史之pop cover
多情种,25729605,胡杨林,电视剧《来不及说我爱你》主题曲,你为何对我这么好
Parties,484365611,Jake Miller,,2:00am in LA
Come Back For You (Morgan Page Remix),531040135,Eiephante,,Come Back For You (Morgan Page Remix)
Past Lives,1384482575,sapientdream,,Drowning
他的,1452568619,姚六一,,他的
天上飞,1869728598,李承铉,顽皮老板喝不醉,天上飞
I will,28892729,Chelsy,TV动画《 青春之旅 》插曲,I will/Animation
大天蓬,1417113061,李袁杰,电影《大天蓬》主题曲,大天蓬
爱你,1404755533,oS酱o,,~Letter song~
错把路灯当月光,1857601902,小田音乐社,,错把路灯当月光
5% TINT,1298432427,Travis Scott,,ASTROWORLD
赤伶,1454730043,李玉刚,,赤伶
那年·年少（高能戏腔）,1858444632,岚爱,,那年·年少
其实你的男人很累(弹鼓版),1810190744,浪子兮,,其实你的男人很累
鱼Jazzguitar/Lucky,1486536477,辛辛君,,Fish Jazzguitar ver
半生风雪,1848267610,北方老叔,,半生风雪
好春光,1844566444,朱宸煜,,好春光
你我之间,1458994212,阿冗,,靠窗
My Cookie Can,1841521017,Ayi,猛男该听的小情歌,My Cookie Can
小情歌,375328,苏打绿,,小宇宙
暖暖,1336866429,窜天猴少女组,,暖暖
开始懂了,33419432,徐薇,,热门华语269
纸短情长 (完整版),516076896,烟把儿,,纸短情长
不仅仅是喜欢,1355916808,萧全,,萧傲江湖Ⅱ
Give Me Your Love,445666806,DEAMN,,Give Me Your Love
形容,1336856864,沈以诚,,初遇
海底（Live）,1840192925,凤凰传奇,,为歌而赞 第7期
她本身,1470129067,肥皂菌丨珉珉的猫咪丨,,她本身
Unstoppable,400876320,Sia,,This Is Acting
海底,1839919649,,,
Counting Stars,28575553,OneRepublic,,NRJ Hit List 2014
Memories,1392089153,Maroon 5,,Memories
等什么君-赤伶（辞晨 remix）,1468807760,辞晨,,可有可无
有人,1297750769,赵钶,,有人
星星在唱歌,1807381939,司南,网易云音乐2020听歌报告主题曲,星星在唱歌（网易云音乐2020年度听歌报告主题曲）
隔岸,1456443773,姚六一,你呀你 冻我心房,隔岸
Cheap Thrills,39224884,Sia,,This Is Acting
世间美好与你环环相扣,1398258337,阿苏,,世间美好与你环环相扣
此生不换,1377318534,李荷静,,此生不换
勾指起誓,1366437548,大柯,,勾指起誓
会不会（正式版）,1489065373,刘大壮,,会不会
Go Down,27889434,Dyro,,Go Down
渡口,25726212,蔡琴,,试音 蔡琴
我愛你,458231315,Ayasa,,BEST I
Pop Danthology 2012,34528693,DJ Daniel Kim,,Pop Danthology
One Day,1309702864,Matisyahu,,One Day EP
勇气 (伴奏),1412474293,棉子,,勇气
Soft Serve,1338701760,Rook1e,,Discography Too
Little Lies,2429134,Dave Barnes,,"What We Want, What We Get"
Da Da Da,1384583411,Tanir,,Da Da Da
只想说声爱你,506092944,白小白,,只想说声爱你
Naina da Kya Kasoor,1368521775,Amit Trivedi,电影《调音师》原声,Andhadhun (Original Motion Picture Soundtrack)
天地无霜,1332495123,杨紫,电视剧《香蜜沉沉烬如霜》插曲,我们的主题曲Vol.1 The Very Best of Golden Dog
说散就散,523251474,艾福杰尼,电影《前任3：再见前任》主题曲,说散就散
TK from 凛として時雨-Unravel（双声道版/周深&TK）（谦 remix）,1452131330,谦,,Unravel
Flower Dance 花之舞（翻自 DJ Okawari）,1433523624,米酒,,DJ Okawari
Tokyo Drift 2K17,480768803,R3DVB,,Tokyo Drift 2K17
我的快乐,1418316824,淋海,原唱：锦绣二重唱,我的快乐
信仰,1459023707,是你的垚,,信仰
相思,276294,毛阿敏,电视剧《西游记后传》片尾曲,腔.调
半壶纱,28793140,刘珂矣,,半壶纱
Daydreamer,480768663,KarlK,,Crossroads
One Day,21157332,Matisyahu,,One Day
soft serve.,520458756,Rook1e,,soft serve.
Bonus ~ Last Summer,557584804,barnes blvd.,,Last Summer
I'll Talk To You Soon,484730079,chiyoko,,I'll Talk To You Soon
当遇见你,1426285166,摩登兄弟刘宇宁,电视剧《冰糖炖雪梨》片尾曲,当遇见你
Out Of Time,1368709208,ASLOVE,,Out Of Time
丢了你,1442508316,井胧,,丢了你
旧梦一场,1449117168,梦洛伊,,旧梦一场
Solo Dance,439076364,Martin Jensen,,Solo Dance
∌,1374616292,go missing,,∌
deserve love.,1375971074,go missing,,Deserve Love.
宠爱吖,528478158,白小白,,宠爱吖
The Way I Still Love You,28718313,Reynard Silva,,Reynard Silva
Good Time,401572731,Owl City,,2013 The Hottest
Pop Love,28138228,Robin Skouteris,,最新热歌慢摇58
